State,AverageTaxRate
Alabama,5.0
Alaska,0.0
Arizona,4.5
Arkansas,6.0
California,9.3
Colorado,4.63
Connecticut,6.99
Delaware,6.6
Florida,0.0
Georgia,5.75
Hawaii,11.0
Idaho,6.925
Illinois,4.95
Indiana,3.23
Iowa,8.53
Kansas,4.6
Kentucky,5.0
Louisiana,4.45
Maine,7.15
Maryland,5.75
Massachusetts,5.0
Michigan,4.25
Minnesota,9.85
Mississippi,3.0
Missouri,5.4
Montana,6.9
Nebraska,6.84
Nevada,0.0
New Hampshire,0.0
New Jersey,10.75
New Mexico,4.9
New York,8.82
North Carolina,5.25
North Dakota,2.9
Ohio,4.8
Oklahoma,5.0
Oregon,9.0
Pennsylvania,3.07
Rhode Island,5.99
South Carolina,7.0
South Dakota,0.0
Tennessee,0.0
Texas,0.0
Utah,4.95
Vermont,8.75
Virginia,5.75
Washington,0.0
West Virginia,6.5
Wisconsin,7.65
Wyoming,0.0
